code,label
41214,La Guaira
41215,Margarita
41216,Orinoko
41217,Rio de la Hacha
41218,Darien
41219,Nombre de Dios
41220,Rattan (a) RoatÌÁn
41221,Puerto Cabello
41299,"Spanish Circum-Caribbean,unspecified"
40000,Spanish Mainland Americas
42000,Rio de la Plata
42001,Buenos Aires
42002,Montevideo
42003,Colonia de Sacramento
42004,Maldonado
42099,"Rio de la Plata, port unspecified"
40000,Spanish Mainland Americas
43000,Peru
43001,Lima
50000,Brazil
50100,Amazonia
50102,MaranhÌ£o
50103,ParÌÁ
50104,Guajano
50105,Rio Amazona
50000,Brazil
50200,Bahia
50201,PÌ«rto Seguro
50202,Rio Real
50203,Rio SÌ£o Francisco
50204,Taipu
50299,"Bahia, port unspecified"
50000,Brazil
50300,Pernambuco
50301,Alagoas province
50302,Ilha de Itamaric
50303,MaceiÌ_
50304,Catuamo and Maria Farinha
50305,Porto de Galinhas
50306,ParaÌ_ba
50307,Rio Grande do Norte
50309,Fernando de Noronha
50399,"Pernambuco, port unspecified"
50000,Brazil
50400,Southeast Brazil
50402,BaÌ_a de Botafogo
50403,BaÌ_a de Sepetiba
50404,Cabo de BÌ¼zios
50405,Cabo Frio
50406,Campos
50407,CananÌ©ia
50408,Copacabana
50409,Dois Rios
50410,Ilha de PaquetÌÁ
50411,Ilha das Palmas
50412,Ilha Grande
50413,Ilha de Lobes
50414,Ilha de Marambaia
50416,MacaÌ©
50417,Mangaratiba
50418,MaricÌÁ
50419,ParanaguÌÁ
50420,Parati
50421,Ponta Negro
50422,Rio de Janeiro
50423,Rio de Janeiro province
50424,"Rio de Janeiro, Sao Paulo, Santa Catarina"
50426,Rio Grande do Sul Province
50427,Rio SÌ£o Jeso
50428,Santos
50430,SÌ£o SebastiÌ£o
50431,Santa Catarina (a) St. Catherines
50433,Ubatuba
50434,VitÌ_ria
50499,"Southeast Brazil, port unspecified"
50000,Brazil
50500,Other Brazil
50599,"Brazil, region unspecified"
60000,Africa
60100,Senegambia and offshore Atlantic
60101,Albreda
60102,Arguim
60103,Bissagos
60104,Bissau
60105,Cacheu
60106,Casamance
60107,Galam
60108,Gambia
60109,GorÌ©e
60110,James Fort
60111,"Joal, or Saloum River"
60112,Oibo
60113,Portudal
60114,Portuguese Guinea
60115,Rio Bolola
60116,Rio Bramiah
60117,Rio Grande
60118,Saint-Louis
60119,French Africa (GorÌ©e or Senegal)
60126,Cape Verde Islands
60127,Santa Catarina do Fogo
60128,Madeira
60129,Azores
60130,Senegal
60141,Canary Islands
60142,Tenerife
60199,"Senegambia and offshore Atlantic, port unspecified"
60000,Africa
60200,Sierra Leone
60201,Banana Islands
60202,Bance Island (Ben's Island)
60203,Ben's Island
60204,Cacandia
60205,CÌ«te de Malaguette (runs through to Cape Palmas on Windward Coast)
60206,Delagoa
60207,Freetown
60208,Gallinhas
60209,Garraway Roads
60210,Iles de Los
60211,Iles Plantain
60212,Rio Nunez
60213,Rio Pongo
60214,Scarcies
60216,Settra Kou
60217,Sherbro
60218,Siraboom
60219,Sugary (Siekere)
60220,Sierra Leone estuary
60241,Mano
60242,River Kissey
60299,"Sierra Leone, port unspecified"
60000,Africa
60300,Windward Coast
60301,Barason
60302,Bassa
60303,Batoa
60304,Bercou
60305,Cap des Palmes
60306,Cape Mount (Cape Grand Mount)
60307,Cape Petit Mount
60308,Cape Grand Mount
60309,Cape Lahou
60310,Cess
60311,Grand Cess
60312,Petit Cess
60313,Dembia
60314,Drouin
60315,Grand Bassa
60316,Little Bassa
60317,Grand Bassam
60318,Grand Junk
60319,Little Junk
60320,Mano
60321,Grand Mesurado
60322,Petit Mesurado
60324,Rio Assini
60325,Rio Cavalie
60326,Rio Sinou
60327,River Kissey
60328,Sassandra
60329,Grand Sestos
60330,Rock Sestos
60331,St. Paul
60332,Tabou
60333,Trade Town
60334,Liberia
60335,Ivory Coast
60336,Young Sestos
60337,Little Sestos
60338,Kru Settra
60339,Cape Palmas
60340,Settra Kru
60399,"Windward Coast, port unspecified"
60000,Africa
60400,Gold Coast
60402,Danish Gold Coast
60403,Acoda (Akka or Acquida)
60404,Accra
60405,Alampo
60407,Anomabu and Apam
60408,Anomabu
60409,Apammin
60410,Apollonia
60411,Axim
60412,Cape Coast Castle
60413,Chama
60414,Christiansborg
60415,Elmina
60416,Eva
60417,Kormantine
60418,Lagoo
60419,Mouree
60420,Ningo
60421,Rio Volta
60422,Sekondi
60423,Siekere
60424,Tantumquerry
60425,Wiamba
60426,Gold Coast from Kormatine to Accra
60427,Gold Coast east of Kormantine
60428,Pokesoe (Princes Town)
60429,Boutry
60430,Bercou
60499,"Gold Coast, port unspecified"
60000,Africa
60500,Bight of Benin
60501,Benin
60502,Costa da Mina
60503,Aghway
60504,Agora
60505,Amokou
60506,Ardra
60507,Badagry
60508,Dixcove
60509,Epe
60510,Popo
60511,Little Popo
60512,Grand Popo
60513,Ife
60514,Jacquin
60515,Whydah
60516,Keta
60517,"Lagos, Onim"
60518,Lamo River
60519,Lay
60520,Legas
60521,OerÌ»
60522,Pataquery
60523,Porto Novo
60524,Rio Forcados
60525,Rio Nazareth
60526,Rio Nun
60599,"Bight of Benin, port unspecified"
60000,Africa
60600,Bight of Biafra and Gulf of Guinea islands
60601,Andony
60602,Barabalemo
60603,Bilbay
60604,Bimbia
60605,Bonny
60607,Bundy
60608,Calabar
60609,Cameroons
60610,Cameroons River
60611,Cape Baxos
60612,Cap Lopez
60613,Cap Lopez And Cabo Santa Catarina
60614,Cape Lopez and Annobon
60615,Corisco
60616,Corisco and Princes Island
60617,Fockey
60618,Forke
60619,Formosa
60620,Gabon
60621,Liverpool River
60622,New Calabar
60623,Quaqua
60624,River Brass
60625,River del Rey
60626,Timbeys
60627,Rio Nazareth
60660,Gulf of Guinea islands
60661,Annobon
60662,Epee and Princes Islands
60663,Fernando Po
60664,Fernando Po and Cameroons
60665,Fernando Po and Princes Islands
60666,Juda and Princes Islands
60667,"Juda, Epee, Princes Island, and Annobon"
60668,Princes Island
60669,Princes Island and Annobon
60670,Princes Island and Cape Lopez
60671,Princes Island and SÌ£o TomÌ©
60672,"Principe, Cap Lopez, Annobon"
60673,SÌ£o TomÌ©
60674,SÌ£o TomÌ© and Annobon
60675,SÌ£o TomÌ© and Cape Lopez
60676,SÌ£o TomÌ© or Princes Island
60677,Costa de Africa (mainland coast around S Tome/Principe)
60699,"Bight of Biafra and Gulf of Guinea Islands, port unspecified"
60000,Africa
60700,West Central Africa and St. Helena 60701 Alecuba
60702,Ambona
60703,Ambriz
60704,Ambrizete
60705,"Barra de Cariba, Luanda"
60706,Bengo
60707,Benguela
60708,Benguela Velho
60709,Boary
60710,Bomara
60711,Cabinda
60712,Cabo Lopo GonÌ¤alves
60713,Cape Mole
60714,Cape Padroon
60715,Coanza River
60716,Congo North
60717,Congo River
60718,Rio Zaire
60719,Grenada Point
60720,Iron Point
60721,Kacongo
60722,Kilongo
60723,Liverpool River
60724,Loango
60725,Malembo
60726,Mayumba
60727,Metrueba
60728,"Mossulo, Luanda"
60729,Mpinda
60730,Nova Redonda
60731,Penido
60732,Quicombo
60733,Salinas
60734,Luanda
60735,Rio Dande (N of Luanda)
60740,St. Helena
60741,Soyo
60799,"West Central Africa and St. Helena, port unspecified"
60000,Africa
60800,Southeast Africa and Indian Ocean islands
60801,Anghoza River
60802,Cabo Delgado
60803,Cape of Good Hope
60805,Costa Leste Occidental
60806,Ibo
60807,Inhambane
60808,Quirimba
60809,Kilwa
60810,LourenÌ¤o Marques
60811,Madagascar
60812,Mauratan
60813,Morondova
60814,Port Dauphin
60815,St. Mary's Island
60816,Tulia
60817,Mocambo
60819,Momboza or Zanzibar
60820,Mozambique
60821,"Pomba, Monfia"
60822,Quilimane
60823,Sofala
60824,St. Lawrence
60826,Zanzibar
60831,Mascarene Islands
60832,Bourbon
60833,Ile de France
60834,Port-Louis
60836,Johanna Island
60837,Mauritius (Ile de France)
60838,"Ascension, Assomption, and Bourbon"
60899,"Southeast Africa and Indian Ocean islands, port unspecified"
60000,Africa
60900,Other Africa
60901,Princes Island and Elmina
60902,Angola (possibly New Calabar)
60903,Senegambia or Sierra Leone
60908,West of Cape Apolonia
60909,Angola to Ardra
60912,Windward + Ivory + Gold + Benin
60913,C.C. Castle and Windward
60914,Gold Coast + Bight of Benin + Bight of Biafra
60915,Bights
60916,Windward Coast (Nunez - Assini)
60917,"Gold Coast, Fr. definition"
60981,Causacoo (location undetermined)
60982,Cape St Martha (location undetermined)
60983,Casnasonis (location undetermined)
60984,Massa (location undetermined)
60985,Touau-Toro (location undetermined)
60986,Cape Logas (location undetermined)
60999,"Africa., port unspecified"
80000,Other
80100,East Indies
80199,"East Indies, port unspecified"
80000,Other
80200,Americas
80299,"Americas, port unspecified"
80000,Other
80300,Asia e Africa
80399,"Asia e Africa, port unspecified"
80000,Other
80400,Spanish Americas
80401,"Spanish American Mainland, port unspecified"
80499,"Spanish Americas, port unspecified"
80000,Other
80500,British Americas
80501,"Kingston, Savannah, Maryland"
80599,"British Americas, port unspecified"
80000,Other
80600,India
80601,Bengal
80602,Goa
80603,Calcutta
80604,Basse Indres
80000,Other
80700,Non-geographical
80703,British plantations
80704,Non-British
80705,Captured by WIC
80706,Captured interloper
80707,Prize (unknown place)
80708,Prize (taken from Dutch)
80709,Prize (taken from French)
80710,Prize (taken from Spanish)
80711,Sold at sea to another vessel
80712,Wreck
80713,Slaves rescued at sea from a shipwreck
80714,Prize (taken from Portuguese)
80715,Prize (taken from USA)
